LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402R-00864,PEAK NORTH HOLDINGS GROUP LLC,PEAK DISPENSARY,Retail Marijuana Store,Sedgwick,80749,2020-12-01
402R-00866,GOWER HADLEY ENTERPRISES LLC,HONEY BEAR APOTHECARY,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00865,TUMBLEWEED EAGLE LLC,,Retail Marijuana Store,Eagle,81631,2020-12-01
402R-00868,MWCS LLC,,Retail Marijuana Store,Hayden,81639,2020-12-01
402R-00867,KIND EATERY LLC,THE KIND CASTLE ,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00870,MAGGIES FARM LLC,MAGGIE'S FARM,Retail Marijuana Store,Las Animas,81054,2020-12-01
402R-00869,PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,Retail Marijuana Store,Denver,80216,2020-12-01
402R-00871,BROW 1 LLC,XCLUSIVE CANNABIS,Retail Marijuana Store,Denver,80207,2020-12-01
402R-00872,GREEN GARDENS LLC,GREEN FIELDS,Retail Marijuana Store,Denver,80223,2020-12-01
402R-00875,KIND COMMERCE LLC,THE KIND CASTLE,Retail Marijuana Store,Commerce City,80022,2020-12-01
402R-00876,TUMBLEWEED CRAIG LLC,,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00882,A&B HOLDINGS LLC,PURE FIRE CANNABIS,Retail Marijuana Store,Gunnison,81230,2020-12-01
402R-00877,AGRICULTURAL ADVANTAGES LLC,LUCKY MONKEY BUDS II,Retail Marijuana Store,Las Animas,81054,2020-12-01
402R-00883,KIND GUNNISON LLC,THE KIND CASTLE MARIJUANA SUPERSTORE,Retail Marijuana Store,Gunnison,81230,2020-12-01
402R-00887,GM 2280 LLC,GOLDEN MEDS,Retail Marijuana Store,Denver,80231,2020-12-01
402R-00879,STEM BEACH DISPENSARY LLC,DOCTORS ORDERS,Retail Marijuana Store,Pueblo,81004,2020-12-01
402R-00885,ELEVATIONS 7888 LLC,7884,Retail Marijuana Store,Antonito,81120,2020-12-01
402R-00880,HIGH WAYS CO LLC,,Retail Marijuana Store,Craig,81625,2020-12-01
402R-00888,KIND COLONA LLC,THE KIND CASTLE,Retail Marijuana Store,Montrose,81403,2020-12-01
402R-00884,STATION 2 LLC,,Retail Marijuana Store,Denver,80210,2020-12-01
